î≠è«ì˙,êlêî
2020-02-17,1
2020-02-18,0
2020-02-19,1
2020-02-20,3
2020-02-21,1
2020-02-22,4
2020-02-23,7
2020-02-24,1
2020-02-25,6
2020-02-26,3
2020-02-27,1
2020-02-28,3
2020-02-29,4
2020-03-01,7
2020-03-02,2
2020-03-03,6
2020-03-04,7
2020-03-05,8
2020-03-06,5
2020-03-07,4
2020-03-08,6
2020-03-09,5
2020-03-10,3
2020-03-11,5
2020-03-12,4
2020-03-13,3
2020-03-14,5
2020-03-15,4
2020-03-16,7
2020-03-17,4
2020-03-18,6
2020-03-19,11
2020-03-20,11
2020-03-21,13
2020-03-22,16
2020-03-23,20
2020-03-24,16
2020-03-25,19
2020-03-26,27
2020-03-27,36
2020-03-28,34
2020-03-29,31
2020-03-30,42
2020-03-31,48
2020-04-01,67
2020-04-02,48
2020-04-03,69
2020-04-04,46
2020-04-05,49
2020-04-06,52
2020-04-07,44
2020-04-08,55
2020-04-09,35
2020-04-10,52
2020-04-11,45
2020-04-12,25
2020-04-13,39
2020-04-14,24
2020-04-15,27
2020-04-16,30
2020-04-17,28
2020-04-18,27
2020-04-19,13
2020-04-20,28
2020-04-21,14
2020-04-22,15
2020-04-23,17
2020-04-24,18
2020-04-25,11
2020-04-26,15
2020-04-27,7
2020-04-28,4
2020-04-29,12
2020-04-30,15
2020-05-01,5
2020-05-02,11
2020-05-03,5
2020-05-04,3
2020-05-05,1
2020-05-06,8
2020-05-07,3
2020-05-08,1
2020-05-09,3
2020-05-10,1
2020-05-11,2
2020-05-12,0
2020-05-13,5
2020-05-14,1
2020-05-15,1
2020-05-16,1
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,1
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,2
2020-06-02,0
2020-06-03,0
2020-06-04,1
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,2
2020-06-09,0
2020-06-10,4
2020-06-11,6
2020-06-12,2
2020-06-13,2
2020-06-14,4
2020-06-15,5
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,2
2020-06-20,1
2020-06-21,3
2020-06-22,2
2020-06-23,4
2020-06-24,9
2020-06-25,11
2020-06-26,9
2020-06-27,11
2020-06-28,6
2020-06-29,7
2020-06-30,8
2020-07-01,15
2020-07-02,11
2020-07-03,17
2020-07-04,22
2020-07-05,15
2020-07-06,30
2020-07-07,35
2020-07-08,40
2020-07-09,35
2020-07-10,37
2020-07-11,42
2020-07-12,52
2020-07-13,73
2020-07-14,95
2020-07-15,95
2020-07-16,95
2020-07-17,117
2020-07-18,100
2020-07-19,100
2020-07-20,127
2020-07-21,134
2020-07-22,157
2020-07-23,148
2020-07-24,139
2020-07-25,154
2020-07-26,166
2020-07-27,182
2020-07-28,164
2020-07-29,186
2020-07-30,151
2020-07-31,162
2020-08-01,150
2020-08-02,137
2020-08-03,153
2020-08-04,153
2020-08-05,145
2020-08-06,100
2020-08-07,129
2020-08-08,121
2020-08-09,114
2020-08-10,123
2020-08-11,115
2020-08-12,113
2020-08-13,98
2020-08-14,116
2020-08-15,118
2020-08-16,104
2020-08-17,89
2020-08-18,97
2020-08-19,100
2020-08-20,77
2020-08-21,90
2020-08-22,63
2020-08-23,61
2020-08-24,76
2020-08-25,63
2020-08-26,62
2020-08-27,49
2020-08-28,70
2020-08-29,57
2020-08-30,52
2020-08-31,44
2020-09-01,67
2020-09-02,61
2020-09-03,55
2020-09-04,71
2020-09-05,71
2020-09-06,86
2020-09-07,66
2020-09-08,65
2020-09-09,62
2020-09-10,64
2020-09-11,40
2020-09-12,53
2020-09-13,53
2020-09-14,60
2020-09-15,55
2020-09-16,59
2020-09-17,52
2020-09-18,46
2020-09-19,52
2020-09-20,46
2020-09-21,50
2020-09-22,38
2020-09-23,67
2020-09-24,48
2020-09-25,46
2020-09-26,40
2020-09-27,37
2020-09-28,38
2020-09-29,50
2020-09-30,28
2020-10-01,45
2020-10-02,42
2020-10-03,47
2020-10-04,32
2020-10-05,38
2020-10-06,45
2020-10-07,44
2020-10-08,50
2020-10-09,45
2020-10-10,44
2020-10-11,41
2020-10-12,54
2020-10-13,51
2020-10-14,52
2020-10-15,42
2020-10-16,51
2020-10-17,60
2020-10-18,42
2020-10-19,70
2020-10-20,87
2020-10-21,72
2020-10-22,82
2020-10-23,81
2020-10-24,95
2020-10-25,86
2020-10-26,120
2020-10-27,128
2020-10-28,110
2020-10-29,90
2020-10-30,105
2020-10-31,113
2020-11-01,111
2020-11-02,120
2020-11-03,145
2020-11-04,252
2020-11-05,190
2020-11-06,153
2020-11-07,202
2020-11-08,235
2020-11-09,306
2020-11-10,217
2020-11-11,275
2020-11-12,245
2020-11-13,209
2020-11-14,244
2020-11-15,256
2020-11-16,289
2020-11-17,272
2020-11-18,336
2020-11-19,280
2020-11-20,304
2020-11-21,284
2020-11-22,224
2020-11-23,228
2020-11-24,288
2020-11-25,288
2020-11-26,293
2020-11-27,288
2020-11-28,259
2020-11-29,218
2020-11-30,279
2020-12-01,292
2020-12-02,280
2020-12-03,263
2020-12-04,300
2020-12-05,322
2020-12-06,263
2020-12-07,311
2020-12-08,274
2020-12-09,247
2020-12-10,245
2020-12-11,272
2020-12-12,228
2020-12-13,186
2020-12-14,307
2020-12-15,274
2020-12-16,215
2020-12-17,216
2020-12-18,221
2020-12-19,193
2020-12-20,210
2020-12-21,253
2020-12-22,231
2020-12-23,219
2020-12-24,215
2020-12-25,240
2020-12-26,249
2020-12-27,187
2020-12-28,313
2020-12-29,278
2020-12-30,281
2020-12-31,301
2021-01-01,368
2021-01-02,369
2021-01-03,445
2021-01-04,494
2021-01-05,538
2021-01-06,479
2021-01-07,439
2021-01-08,446
2021-01-09,446
2021-01-10,363
2021-01-11,405
2021-01-12,450
2021-01-13,408
2021-01-14,384
2021-01-15,415
2021-01-16,362
2021-01-17,324
2021-01-18,365
2021-01-19,327
2021-01-20,349
2021-01-21,303
2021-01-22,292
2021-01-23,267
2021-01-24,220
2021-01-25,257
2021-01-26,235
2021-01-27,221
2021-01-28,194
2021-01-29,162
2021-01-30,165
2021-01-31,140
